solver,jobs,elapsed,value
CombinatorialBnB,1,9.550000186209218e-07,
GurobiSolver,1,9.899999895424116e-07,
CombinatorialBnB,1,9.010000212583691e-07,
GurobiSolver,1,1.1060000133511494e-06,
CombinatorialBnB,1,8.970000635599717e-07,
GurobiSolver,1,9.499999578110874e-07,
CombinatorialBnB,1,1.1980000635958277e-06,
GurobiSolver,1,1.202000021294225e-06,
CombinatorialBnB,1,1.048999934027961e-06,
GurobiSolver,1,1.4910000345480512e-06,
CombinatorialBnB,1,8.729999763090746e-07,
GurobiSolver,1,8.140000318235252e-07,
CombinatorialBnB,1,1.202000021294225e-06,
GurobiSolver,1,1.055999973686994e-06,
CombinatorialBnB,1,9.179999551633955e-07,
GurobiSolver,1,1.1380000159988413e-06,
CombinatorialBnB,1,1.0720000318542589e-06,
GurobiSolver,1,8.499999921696144e-07,
CombinatorialBnB,1,8.4499993135978e-07,
GurobiSolver,1,1.685000029283401e-06,
CombinatorialBnB,1,1.0339999789721332e-06,
GurobiSolver,1,9.600000794307562e-07,
CombinatorialBnB,1,8.590000106778461e-07,
GurobiSolver,1,9.210000371240312e-07,
CombinatorialBnB,1,9.840000529948156e-07,
GurobiSolver,1,1.6530000266357092e-06,
CombinatorialBnB,1,9.200000476994319e-07,
GurobiSolver,1,1.1250000397922122e-06,
CombinatorialBnB,1,9.059999683813658e-07,
GurobiSolver,1,9.089999366551638e-07,
CombinatorialBnB,1,9.379999710290576e-07,
GurobiSolver,1,1.045999965754163e-06,
CombinatorialBnB,1,9.069999578059651e-07,
GurobiSolver,1,8.940000952861737e-07,
CombinatorialBnB,1,9.30000055632263e-07,
GurobiSolver,1,8.91000013325538e-07,
CombinatorialBnB,1,9.000000318337698e-07,
GurobiSolver,1,7.989999630808597e-07,
CombinatorialBnB,1,1.2850000530306716e-06,
GurobiSolver,1,9.259999842470279e-07,
CombinatorialBnB,1,8.399999842367833e-07,
GurobiSolver,1,8.370000159629853e-07,
CombinatorialBnB,1,1.358000076834287e-06,
GurobiSolver,1,8.700000080352766e-07,
CombinatorialBnB,1,8.310000794153893e-07,
GurobiSolver,1,1.1160000212839805e-06,
CombinatorialBnB,1,8.770000476943096e-07,
GurobiSolver,1,9.340000133306603e-07,
CombinatorialBnB,1,9.58999976319319e-07,
GurobiSolver,1,1.0369999472459313e-06,
CombinatorialBnB,1,8.540000635548495e-07,
GurobiSolver,1,8.870000556271407e-07,
CombinatorialBnB,1,9.139999974649982e-07,
GurobiSolver,1,9.86999907581776e-07,
CombinatorialBnB,1,9.35999992179859e-07,
GurobiSolver,1,1.2279999737074832e-06,
CombinatorialBnB,1,1.0100000054080738e-06,
GurobiSolver,1,1.4270000292526674e-06,
CombinatorialBnB,1,9.43000031838892e-07,
GurobiSolver,1,1.3280000530357938e-06,
CombinatorialBnB,1,9.35999992179859e-07,
GurobiSolver,1,1.9720000636880286e-06,
CombinatorialBnB,1,9.770000133357826e-07,
GurobiSolver,1,1.9170000769008766e-06,
CombinatorialBnB,1,9.75000034486584e-07,
GurobiSolver,1,2.180000024054607e-06,
CombinatorialBnB,1,1.0190000239163055e-06,
GurobiSolver,1,1.0969999948429177e-06,
CombinatorialBnB,1,8.569999181418098e-07,
GurobiSolver,1,8.509999815942138e-07,
CombinatorialBnB,1,8.600000001024455e-07,
GurobiSolver,1,1.8450000425218605e-06,
CombinatorialBnB,1,1.1099999710495467e-06,
GurobiSolver,1,1.0940000265691197e-06,
CombinatorialBnB,1,9.260000979338656e-07,
GurobiSolver,1,9.43000031838892e-07,
CombinatorialBnB,1,8.829999842419056e-07,
GurobiSolver,1,1.2890000107290689e-06,
CombinatorialBnB,1,1.1899999208253575e-06,
GurobiSolver,1,8.949999710239354e-07,
CombinatorialBnB,1,9.210000371240312e-07,
GurobiSolver,1,9.040001032190048e-07,
CombinatorialBnB,1,9.290000662076636e-07,
GurobiSolver,1,1.633000010770047e-06,
CombinatorialBnB,1,1.3199999102653237e-06,
GurobiSolver,1,2.225000002908928e-06,
CombinatorialBnB,1,9.95000050352246e-07,
GurobiSolver,1,1.2690001085502445e-06,
CombinatorialBnB,1,9.48999968386488e-07,
GurobiSolver,1,1.9720000636880286e-06,
CombinatorialBnB,1,1.9290000636829063e-06,
GurobiSolver,1,1.293000082114304e-06,
CombinatorialBnB,1,1.1269999049545731e-06,
GurobiSolver,1,9.670000054029515e-07,
CombinatorialBnB,1,8.979999392977334e-07,
GurobiSolver,1,1.3059999446340953e-06,
CombinatorialBnB,1,1.3659999922310817e-06,
GurobiSolver,1,1.6340000001946464e-06,
CombinatorialBnB,1,1.2789998891094e-06,
GurobiSolver,1,1.421999968442833e-06,
CombinatorialBnB,1,1.341000029242423e-06,
GurobiSolver,1,8.670000397614785e-07,
CombinatorialBnB,1,9.269999736716272e-07,
GurobiSolver,1,1.421999968442833e-06,
CombinatorialBnB,1,1.0650001058820635e-06,
GurobiSolver,1,9.689999842521502e-07,
CombinatorialBnB,1,9.96999915514607e-07,
GurobiSolver,1,1.0640000027706265e-06,
CombinatorialBnB,1,9.230000159732299e-07,
GurobiSolver,1,3.2870000268303556e-06,
CombinatorialBnB,1,8.650000609122799e-07,
GurobiSolver,1,9.989998943638057e-07,
CombinatorialBnB,1,8.800000159681076e-07,
GurobiSolver,1,1.0439999869049643e-06,
CombinatorialBnB,1,8.370000159629853e-07,
GurobiSolver,1,1.3129999842931284e-06,
CombinatorialBnB,1,1.3679999710802804e-06,
GurobiSolver,1,1.2369999922157149e-06,
CombinatorialBnB,1,8.86999941940303e-07,
GurobiSolver,1,1.0019999763244414e-06,
CombinatorialBnB,1,8.060000027398928e-07,
GurobiSolver,1,9.390000741404947e-07,
CombinatorialBnB,1,8.399999842367833e-07,
GurobiSolver,1,1.095000015993719e-06,
CombinatorialBnB,1,9.510000609225244e-07,
GurobiSolver,1,1.0260000635753386e-06,
CombinatorialBnB,1,9.900001032292494e-07,
GurobiSolver,1,9.78000002760382e-07,
CombinatorialBnB,1,9.149999868895975e-07,
GurobiSolver,1,1.5009999287940445e-06,
CombinatorialBnB,1,1.1439999525464373e-06,
GurobiSolver,1,1.165999947261298e-06,
CombinatorialBnB,1,8.279999974547536e-07,
GurobiSolver,1,8.980000529845711e-07,
CombinatorialBnB,1,8.170000000973232e-07,
GurobiSolver,1,2.7749999844672857e-06,
CombinatorialBnB,1,1.5269999948941404e-06,
GurobiSolver,1,1.1700000186465331e-06,
CombinatorialBnB,1,9.090000503420015e-07,
GurobiSolver,1,1.0669999710444245e-06,
CombinatorialBnB,1,9.949999366654083e-07,
GurobiSolver,1,2.8340000426396728e-06,
CombinatorialBnB,1,1.0019999763244414e-06,
GurobiSolver,1,1.0369999472459313e-06,
CombinatorialBnB,1,9.579999868947198e-07,
GurobiSolver,1,1.2379999816403142e-06,
CombinatorialBnB,1,1.0700000530050602e-06,
GurobiSolver,1,4.405000026963535e-06,
CombinatorialBnB,1,1.5309999525925377e-06,
GurobiSolver,1,2.482000013515062e-06,
CombinatorialBnB,1,1.158999907602265e-06,
GurobiSolver,1,7.054000093376089e-06,
CombinatorialBnB,1,1.5950000715747592e-06,
GurobiSolver,1,1.1590000212891027e-06,
CombinatorialBnB,1,9.159999763141968e-07,
GurobiSolver,1,1.259999976355175e-06,
CombinatorialBnB,1,1.3959999023427372e-06,
GurobiSolver,1,1.5369998891401337e-06,
CombinatorialBnB,1,1.5659999235140276e-06,
GurobiSolver,1,1.5649999340894283e-06,
CombinatorialBnB,1,9.990000080506434e-07,
GurobiSolver,1,9.579999868947198e-07,
CombinatorialBnB,1,9.379999710290576e-07,
GurobiSolver,1,1.1550000635907054e-06,
CombinatorialBnB,1,1.0140000767933088e-06,
GurobiSolver,1,1.0420000080557656e-06,
CombinatorialBnB,1,1.4010000768394093e-06,
GurobiSolver,1,9.520000503471238e-07,
CombinatorialBnB,1,1.5210000583465444e-06,
GurobiSolver,1,1.5800000028320937e-06,
CombinatorialBnB,1,1.3709999393540784e-06,
GurobiSolver,1,2.0549999817376374e-06,
CombinatorialBnB,1,9.679999948275508e-07,
GurobiSolver,1,1.2522000019998814e-05,
CombinatorialBnB,1,1.996000037252088e-06,
GurobiSolver,1,1.5659999235140276e-06,
CombinatorialBnB,1,1.6999999843392288e-06,
GurobiSolver,1,1.1969999604843906e-06,
CombinatorialBnB,1,8.079999815890915e-07,
GurobiSolver,1,9.619999445931171e-07,
CombinatorialBnB,1,1.2579999975059764e-06,
GurobiSolver,1,1.1829999948531622e-06,
CombinatorialBnB,1,1.0929999234576826e-06,
GurobiSolver,1,1.1959999710597913e-06,
CombinatorialBnB,1,8.590000106778461e-07,
GurobiSolver,1,8.120000529743265e-07,
CombinatorialBnB,1,9.049999789567664e-07,
GurobiSolver,1,1.1580000318645034e-06,
CombinatorialBnB,1,1.762000010785414e-06,
GurobiSolver,1,1.1330000688758446e-06,
CombinatorialBnB,1,9.159999763141968e-07,
GurobiSolver,1,7.820000291758333e-07,
CombinatorialBnB,1,9.320000344814616e-07,
GurobiSolver,1,1.045999965754163e-06,
CombinatorialBnB,1,1.3889999763705418e-06,
GurobiSolver,1,1.1070000027757487e-06,
CombinatorialBnB,1,9.209999234371935e-07,
GurobiSolver,1,1.2639999340535724e-06,
CombinatorialBnB,1,9.340000133306603e-07,
GurobiSolver,1,1.2519999472715426e-06,
CombinatorialBnB,1,1.1490000133562717e-06,
GurobiSolver,1,9.38999960453657e-07,
CombinatorialBnB,1,8.749999551582732e-07,
GurobiSolver,1,1.555000039843435e-06,
CombinatorialBnB,1,1.0200000133409048e-06,
GurobiSolver,1,1.2980000292373006e-06,
CombinatorialBnB,1,8.33000058264588e-07,
GurobiSolver,1,1.2240000160090858e-06,
CombinatorialBnB,1,1.4780000583414221e-06,
GurobiSolver,1,1.0549999842623947e-06,
CombinatorialBnB,1,8.86999941940303e-07,
GurobiSolver,1,9.149999868895975e-07,
CombinatorialBnB,1,8.050000133152935e-07,
GurobiSolver,1,1.1209999684069771e-06,
CombinatorialBnB,1,8.96999949873134e-07,
GurobiSolver,1,1.3919999446443398e-06,
CombinatorialBnB,1,9.670000054029515e-07,
GurobiSolver,1,1.0280000424245372e-06,
CombinatorialBnB,1,8.020000450414955e-07,
GurobiSolver,1,1.2959999367012642e-06,
CombinatorialBnB,1,9.079999472305644e-07,
GurobiSolver,1,1.1610000001383014e-06,
CombinatorialBnB,1,8.440000556220184e-07,
GurobiSolver,1,9.93999947240809e-07,
CombinatorialBnB,1,9.010000212583691e-07,
GurobiSolver,1,9.249999948224286e-07,
CombinatorialBnB,1,1.0070000371342758e-06,
GurobiSolver,1,9.230000159732299e-07,
CombinatorialBnB,1,6.899999789311551e-07,
GurobiSolver,1,9.890000001178123e-07,
CombinatorialBnB,1,8.109999498628895e-07,
GurobiSolver,1,8.040000238906941e-07,
CombinatorialBnB,1,7.900000582594657e-07,
GurobiSolver,1,1.3200000239521614e-06,
CombinatorialBnB,1,1.3630000239572837e-06,
GurobiSolver,1,1.4529999816659256e-06,
CombinatorialBnB,1,1.1280000080660102e-06,
