solver,jobs,elapsed,error
CombinatorialBnB,20,1.463999979023356e-06,
GurobiSolver,20,4.533000264927978e-06,
CombinatorialBnB,20,1.4229999578674324e-06,
GurobiSolver,20,2.466999831085559e-06,
CombinatorialBnB,20,1.4039997040526941e-06,
GurobiSolver,20,1.9409999367780983e-06,
CombinatorialBnB,20,1.3089997992210556e-06,
GurobiSolver,20,1.9500002963468432e-06,
CombinatorialBnB,20,9.76000137598021e-07,
GurobiSolver,20,1.9110002540401183e-06,
CombinatorialBnB,20,1.088000317395199e-06,
GurobiSolver,20,2.0140000742685515e-06,
CombinatorialBnB,20,9.559998943586834e-07,
GurobiSolver,20,2.111999947373988e-06,
CombinatorialBnB,20,1.0980002116411924e-06,
GurobiSolver,20,1.7320003280474339e-06,
CombinatorialBnB,20,2.5049998839676846e-06,
GurobiSolver,20,1.407000127073843e-06,
CombinatorialBnB,20,3.2130001272889785e-06,
GurobiSolver,20,1.2269997569092084e-06,
CombinatorialBnB,20,1.5880000319157261e-06,
GurobiSolver,20,1.5790001270943321e-06,
CombinatorialBnB,20,9.28000190469902e-07,
GurobiSolver,20,1.2460000107239466e-06,
CombinatorialBnB,20,8.799997885944322e-07,
GurobiSolver,20,1.3240000953373965e-06,
CombinatorialBnB,20,1.0519997886149213e-06,
GurobiSolver,20,1.2540003808680922e-06,
CombinatorialBnB,20,1.0819999261002522e-06,
GurobiSolver,20,1.1820002328022383e-06,
CombinatorialBnB,20,1.1100000847363845e-06,
GurobiSolver,20,2.4260002646769863e-06,
CombinatorialBnB,20,1.1309998626529705e-06,
GurobiSolver,20,1.8729997464106418e-06,
CombinatorialBnB,20,1.3869998838345055e-06,
GurobiSolver,20,1.5100004020496272e-06,
CombinatorialBnB,20,1.1140000424347818e-06,
GurobiSolver,20,1.8190003174822778e-06,
CombinatorialBnB,20,1.2059999789926223e-06,
GurobiSolver,20,2.2300000637187622e-06,
CombinatorialBnB,20,1.0469998414919246e-06,
GurobiSolver,20,1.2810000953322742e-06,
CombinatorialBnB,20,9.360001058666967e-07,
GurobiSolver,20,1.8959999579237774e-06,
CombinatorialBnB,20,2.0190000213915482e-06,
GurobiSolver,20,1.5539999367319979e-06,
CombinatorialBnB,20,1.3629996828967705e-06,
GurobiSolver,20,2.243999915663153e-06,
CombinatorialBnB,20,9.589998626324814e-07,
GurobiSolver,20,1.6259996300505009e-06,
CombinatorialBnB,20,9.800000952964183e-07,
GurobiSolver,20,2.568999661889393e-06,
CombinatorialBnB,20,1.142000201070914e-06,
GurobiSolver,20,1.1649999578366987e-06,
CombinatorialBnB,20,1.1189999895577785e-06,
GurobiSolver,20,2.0750003386638127e-06,
CombinatorialBnB,20,9.330001375928987e-07,
GurobiSolver,20,1.1340002856741194e-06,
CombinatorialBnB,20,9.689997568784747e-07,
GurobiSolver,20,1.0740000107034575e-06,
CombinatorialBnB,20,1.7690003915049601e-06,
GurobiSolver,20,1.0899998414970469e-06,
CombinatorialBnB,20,1.1120000635855831e-06,
GurobiSolver,20,1.3080002645438071e-06,
CombinatorialBnB,20,1.0190001376031432e-06,
GurobiSolver,20,2.046000190603081e-06,
CombinatorialBnB,20,9.099999260797631e-07,
GurobiSolver,20,1.7440002011426259e-06,
CombinatorialBnB,20,9.720001798996236e-07,
GurobiSolver,20,1.9930002963519655e-06,
CombinatorialBnB,20,8.749998414714355e-07,
GurobiSolver,20,1.7550000848132186e-06,
CombinatorialBnB,20,1.2880000213044696e-06,
GurobiSolver,20,1.5270002222678158e-06,
CombinatorialBnB,20,1.229000190505758e-06,
GurobiSolver,20,1.5860000530665275e-06,
CombinatorialBnB,20,1.3369999578571878e-06,
GurobiSolver,20,1.8410000848234631e-06,
CombinatorialBnB,20,1.213999894389417e-06,
GurobiSolver,20,2.1729997570218984e-06,
CombinatorialBnB,20,1.151000105892308e-06,
GurobiSolver,20,1.8129999261873309e-06,
CombinatorialBnB,20,1.1649999578366987e-06,
GurobiSolver,20,1.8270002328790724e-06,
CombinatorialBnB,20,1.0370004019932821e-06,
GurobiSolver,20,2.590999883977929e-06,
CombinatorialBnB,20,1.2339996828814037e-06,
GurobiSolver,20,1.764999979059212e-06,
CombinatorialBnB,20,9.619998309062794e-07,
GurobiSolver,20,1.711000095383497e-06,
CombinatorialBnB,20,1.196000084746629e-06,
GurobiSolver,20,2.18700006371364e-06,
CombinatorialBnB,20,7.970002116053365e-07,
GurobiSolver,20,2.3550001060357317e-06,
CombinatorialBnB,20,8.849997357174288e-07,
GurobiSolver,20,1.8089999684889335e-06,
CombinatorialBnB,20,9.22000253922306e-07,
GurobiSolver,20,1.8229998204333242e-06,
CombinatorialBnB,20,1.6729995877540205e-06,
GurobiSolver,20,2.076000328088412e-06,
CombinatorialBnB,20,1.2929999684274662e-06,
GurobiSolver,20,1.6969997886917554e-06,
CombinatorialBnB,20,1.2970003808732145e-06,
GurobiSolver,20,1.9059998521697707e-06,
CombinatorialBnB,20,2.0810002752114087e-06,
GurobiSolver,20,8.164000064425636e-06,
CombinatorialBnB,20,1.244000031874748e-06,
GurobiSolver,20,2.1490000108315144e-06,
CombinatorialBnB,20,1.5169998732744716e-06,
GurobiSolver,20,1.957999756996287e-06,
CombinatorialBnB,20,1.4163000287226168e-05,
GurobiSolver,20,1.725999936752487e-06,
CombinatorialBnB,20,1.3490002856997307e-06,
GurobiSolver,20,1.2010000318696257e-06,
CombinatorialBnB,20,1.2490004337450955e-06,
GurobiSolver,20,1.0829999155248515e-06,
CombinatorialBnB,20,9.830000635702163e-07,
GurobiSolver,20,3.827000000455882e-06,
CombinatorialBnB,20,1.5020000319054816e-06,
GurobiSolver,20,1.8269997781317215e-06,
CombinatorialBnB,20,1.1170000107085798e-06,
GurobiSolver,20,1.9059998521697707e-06,
CombinatorialBnB,20,1.050999799190322e-06,
GurobiSolver,20,1.3260000741865952e-06,
CombinatorialBnB,20,9.349996616947465e-07,
GurobiSolver,20,1.1120000635855831e-06,
CombinatorialBnB,20,9.88000010693213e-07,
GurobiSolver,20,1.2069999684172217e-06,
CombinatorialBnB,20,1.0050002856587525e-06,
GurobiSolver,20,2.0399997993081342e-06,
CombinatorialBnB,20,1.7900001694215462e-06,
GurobiSolver,20,4.443999841896584e-06,
CombinatorialBnB,20,2.1440000637085177e-06,
GurobiSolver,20,1.1299998732283711e-06,
CombinatorialBnB,20,8.320002962136641e-07,
GurobiSolver,20,1.2269997569092084e-06,
CombinatorialBnB,20,1.190000148199033e-06,
GurobiSolver,20,1.6200001482502557e-06,
CombinatorialBnB,20,8.769998203206342e-07,
GurobiSolver,20,1.2569998943945393e-06,
CombinatorialBnB,20,1.0560002010606695e-06,
GurobiSolver,20,1.2420000530255493e-06,
CombinatorialBnB,20,8.909996722650249e-07,
GurobiSolver,20,1.3929998203821015e-06,
CombinatorialBnB,20,1.0280000424245372e-06,
GurobiSolver,20,1.1850002010760363e-06,
CombinatorialBnB,20,1.0339999789721332e-06,
GurobiSolver,20,1.5440000424860045e-06,
CombinatorialBnB,20,1.0700000530050602e-06,
GurobiSolver,20,1.410000095347641e-06,
CombinatorialBnB,20,8.869997145666275e-07,
GurobiSolver,20,2.0259999473637436e-06,
CombinatorialBnB,20,1.4859997463645414e-06,
GurobiSolver,20,1.3919998309575021e-06,
CombinatorialBnB,20,1.0710000424296595e-06,
GurobiSolver,20,1.70499970408855e-06,
CombinatorialBnB,20,1.0339999789721332e-06,
GurobiSolver,20,1.4330003068607766e-06,
